Date,HomeTeam,AwayTeam,FTHG,FTAG,HR,AR,BbMxH,BbMxA,BbAHh,BbMxAHH,BbMxAHA
05/08/05,Bayern Munich,M'gladbach,3,0,1,0,1.4,10.35,-1.5,2.06,1.96
06/08/05,Duisburg,Stuttgart,1,1,0,1,3.35,2.35,0.25,2.05,1.95
06/08/05,FC Koln,Mainz,1,0,0,0,2.15,3.8,-0.25,1.9,2.09
06/08/05,Hamburg,Nurnberg,3,0,0,0,1.65,7.2,-1,2.04,1.97
06/08/05,Hannover,Hertha,2,2,0,0,2.9,2.7,0,2.1,1.87
06/08/05,Werder Bremen,Bielefeld,5,2,0,0,1.5,9.5,-1.25,1.92,2.07
06/08/05,Wolfsburg,Dortmund,2,2,0,0,2.6,2.85,0,1.84,2.15
07/08/05,Ein Frankfurt,Leverkusen,1,4,0,0,3,2.4,0,2.2,1.8
07/08/05,Schalke 04,Kaiserslautern,2,1,0,0,1.6,7.2,-1,1.9,2.1
13/08/05,Bielefeld,Hamburg,0,2,0,0,3.6,2.25,0.5,1.79,2.16
13/08/05,Dortmund,Schalke 04,1,2,0,0,2.75,2.75,0,2.01,1.98
13/08/05,Hertha,Ein Frankfurt,2,0,0,0,1.45,10,-1.25,1.83,2.11
13/08/05,Kaiserslautern,Duisburg,5,3,0,0,1.83,5,-0.5,1.84,2.14
13/08/05,Leverkusen,Bayern Munich,2,5,0,0,3.4,2.35,0.25,2.05,2.06
13/08/05,M'gladbach,Wolfsburg,1,1,0,1,2.1,3.75,-0.5,2.13,1.83
13/08/05,Nurnberg,Hannover,1,1,0,0,2.3,3.15,-0.25,1.93,1.99
14/08/05,Mainz,Werder Bremen,0,2,0,0,3.6,2.25,0.25,2.1,1.83
14/08/05,Stuttgart,FC Koln,2,3,0,1,1.55,8.05,-1,1.9,2.05
27/08/05,Bayern Munich,Hertha,3,0,0,0,1.45,9,-1.25,2.03,1.95
27/08/05,Ein Frankfurt,Nurnberg,1,0,0,0,2.2,3.35,-0.25,1.95,2
27/08/05,FC Koln,Kaiserslautern,2,3,0,0,2.35,3.8,-0.25,2.03,1.95
27/08/05,Hamburg,Hannover,1,1,0,0,1.6,7,-1,2.13,1.86
27/08/05,Schalke 04,M'gladbach,1,1,0,0,1.4,10,-1.25,1.95,2.03
27/08/05,Werder Bremen,Stuttgart,1,1,0,0,1.85,4.9,-0.5,1.86,2.15
27/08/05,Wolfsburg,Leverkusen,2,1,0,2,2.7,2.8,0,2,2
28/08/05,Bielefeld,Mainz,2,0,0,0,2.25,3.35,-0.25,1.89,2.13
28/08/05,Duisburg,Dortmund,1,1,0,0,3,2.5,0,2.29,1.75
10/09/05,Hannover,Ein Frankfurt,2,0,0,0,1.95,4.7,-0.5,2.04,2
10/09/05,Kaiserslautern,Werder Bremen,1,5,0,0,3.15,2.39,0.25,1.94,2.18
10/09/05,Leverkusen,Schalke 04,1,1,0,0,3.5,2.55,0.25,2.01,1.95
10/09/05,Mainz,Hamburg,1,3,0,0,3.55,2.25,0.25,2.07,1.89
10/09/05,M'gladbach,Duisburg,2,1,0,0,1.83,5,-0.75,2.17,1.83
10/09/05,Nurnberg,Bayern Munich,1,2,0,0,7.5,1.55,1,2.09,1.89
10/09/05,Stuttgart,Bielefeld,1,1,0,0,1.53,8,-1,1.88,2.12
11/09/05,Dortmund,FC Koln,2,1,0,0,1.77,5.2,-0.75,2.06,1.95
11/09/05,Hertha,Wolfsburg,3,0,0,0,1.75,5.58,-0.75,1.98,1.96
17/09/05,Bayern Munich,Hannover,1,0,0,0,1.32,12,-1.5,1.93,2.02
17/09/05,Bielefeld,Kaiserslautern,0,0,0,0,2.35,3.2,-0.25,2.14,1.85
17/09/05,FC Koln,M'gladbach,2,1,0,0,2.45,3.25,-0.25,2.15,1.84
17/09/05,Hamburg,Ein Frankfurt,1,1,0,0,1.45,9.6,-1.25,1.95,2.05
17/09/05,Mainz,Stuttgart,1,2,0,0,3.45,2.25,0.25,2,1.94
17/09/05,Werder Bremen,Dortmund,3,2,0,0,1.72,5.75,-0.75,2,2.01
17/09/05,Wolfsburg,Nurnberg,1,1,0,0,1.75,6.13,-0.75,1.98,2.05
18/09/05,Duisburg,Leverkusen,1,3,0,0,3.45,2.35,0.25,1.98,1.99
18/09/05,Schalke 04,Hertha,0,0,0,1,1.87,4.5,-0.5,1.91,2.01
